Income,Home Ownership,Year Of Residence,Age,Fee,Reward program,owner_year,age_fee2,Deliveryperiod,Subscriber
-0.885705782,0,-0.980980445,-1.007741744,-0.911892365,0,-0.964235158,-0.149764464,-0.784884206,0
0.263667574,1,-1.065942234,-0.675544748,-0.627815882,0,-0.885036121,-0.257399115,-0.784884206,1
0.263667574,1,-0.811056866,-0.675544748,-0.911892365,0,-0.647439012,-0.149861935,-0.784884206,1
0.019119011,1,-0.641133288,0.321046239,-0.81592058,0,-0.489040938,-0.20269403,-0.784884206,1
-0.885705782,1,-0.811056866,-1.007741744,-0.911892365,0,-0.647439012,-0.149764464,-0.784884206,0
-0.152064983,1,0.718255336,-0.011150756,-0.81592058,0,0.778143647,-0.198238053,-0.784884206,0
-0.885705782,0,0.633293547,0.321046239,-0.627815882,0,-0.964235158,-0.288973881,-0.784884206,0
-0.885705782,0,-1.065942234,-0.343347752,-0.627815882,0,-0.964235158,-0.268340635,-0.784884206,0
-0.543342684,0,-0.811056866,-1.007741744,-0.915731237,0,-0.964235158,-0.149042169,1.274073287,0
-0.64116211,1,1.482911437,0.985440231,0.811760895,0,1.490934976,0.018018701,1.274073287,1
0.263667574,1,2.502452906,1.516955424,-0.81592058,0,2.441323415,-0.218336244,-0.784884206,1
-0.64116211,1,-0.556171499,-0.675544748,-0.911892365,0,-0.409841902,-0.149861935,1.274073287,0
2.342330361,1,0.208484602,0.653243235,0.427873755,0,0.302949427,-0.299995986,-0.784884206,0
0.7527647,1,1.482911437,1.516955424,1.195648036,0,1.490934976,0.756971366,1.274073287,0
-0.885705782,0,-0.386247921,-1.871453932,-0.339900526,0,-0.964235158,-0.270137928,-0.784884206,0
2.342330361,1,0.973140703,0.321046239,1.579535176,1,1.015740756,0.434998428,1.274073287,1
-0.543342684,1,-1.065942234,-0.675544748,0.043986614,0,-0.885036121,-0.395742993,-0.784884206,0
0.508216137,1,0.718255336,0.985440231,-0.911892365,0,0.778143647,-0.150349291,-0.784884206,0
0.019119011,0,-1.065942234,-0.343347752,0.043986614,0,-0.964235158,-0.403442038,1.274073287,0
-0.347703834,1,0.293446391,0.321046239,-0.911892365,0,0.382148464,-0.150154349,-0.784884206,0
3.320524614,1,-0.980980445,-1.007741744,0.043986614,0,-0.805837085,-0.383433171,-0.784884206,0
0.508216137,1,0.123522813,0.321046239,-0.81592058,0,0.223750391,-0.20269403,-0.784884206,0
0.263667574,1,-0.131362554,0.321046239,-0.911892365,0,-0.013846719,-0.150154349,-0.784884206,0
0.508216137,1,0.548331758,0.321046239,-0.911892365,0,0.619745574,-0.150154349,1.274073287,1
-0.64116211,0,-0.980980445,0.321046239,0.043986614,0,-0.964235158,-0.405008244,-0.784884206,0
-0.445523259,1,0.973140703,-0.011150756,-0.911892365,0,1.015740756,-0.150056878,-0.784884206,0
0.019119011,1,0.803217125,1.317637227,-0.339900526,0,0.857342683,-0.397908247,-0.784884206,0
-0.347703834,1,1.397949648,-0.011150756,0.427873755,0,1.411735939,-0.369739643,-0.784884206,0
-0.445523259,1,0.633293547,0.653243235,-0.81592058,0,0.69894461,-0.207101717,-0.784884206,0
0.019119011,1,1.737796805,-0.343347752,0.427873755,0,1.728532086,-0.391040671,1.274073287,1
2.342330361,1,0.208484602,-0.011150756,-0.911892365,0,0.302949427,-0.150056878,-0.784884206,0
-0.64116211,0,-1.065942234,-0.343347752,-0.81592058,0,-0.964235158,-0.19373408,1.274073287,0
-0.83680096,0,-1.065942234,-1.339938739,-0.339900526,0,-0.964235158,-0.302027625,1.274073287,0
3.320524614,1,0.038561024,-0.011150756,-0.911892365,0,0.144551354,-0.150056878,-0.784884206,0
0.019119011,1,-0.47120971,-0.011150756,0.811760895,0,-0.330642865,-0.252838852,1.274073287,0
0.263667574,1,0.548331758,0.653243235,-0.81592058,0,0.619745574,-0.207101717,-0.784884206,0
-0.885705782,0,-1.065942234,-1.871453932,-0.81592058,0,-0.964235158,-0.172395278,-0.784884206,0
-0.885705782,1,-0.386247921,0.321046239,-0.911892365,0,-0.251443829,-0.150154349,-0.784884206,0
-0.543342684,1,1.058102492,1.516955424,0.043986614,0,1.094939793,-0.361352225,-0.784884206,0
-0.543342684,1,3.097185429,1.516955424,-0.339900526,0,2.995716671,-0.400828238,-0.784884206,0
-0.64116211,0,-1.065942234,-1.339938739,0.043986614,0,-0.964235158,-0.36651287,1.274073287,0
-0.543342684,1,-0.301286132,0.985440231,-0.911892365,0,-0.172244792,-0.150349291,-0.784884206,0
0.263667574,1,0.718255336,-0.011150756,1.579535176,0,0.778143647,0.221293259,1.274073287,1
3.809626632,1,-0.47120971,-0.011150756,0.811760895,0,-0.330642865,-0.252838852,1.274073287,0
1.119587545,1,-0.131362554,0.653243235,2.731196597,1,-0.013846719,2.684851931,1.274073287,1
0.263667574,1,2.842300062,1.516955424,-0.911892365,0,2.758119561,-0.150505127,-0.784884206,0
-0.249884409,1,1.737796805,0.321046239,0.811760895,0,1.728532086,-0.177518149,1.274073287,0
0.019119011,1,-0.980980445,-0.343347752,-0.911892365,0,-0.805837085,-0.149959406,-0.784884206,0
-0.885705782,0,0.038561024,-0.011150756,-0.81592058,0,-0.964235158,-0.198238053,-0.784884206,0
0.019119011,1,0.038561024,0.985440231,0.811760895,0,0.144551354,0.018018701,1.274073287,1
-0.64116211,0,-0.811056866,-1.871453932,-0.911892365,0,-0.964235158,-0.149510861,-0.784884206,0
-0.83680096,0,-1.065942234,-1.672135735,-0.911892365,0,-0.964235158,-0.149569373,-0.784884206,0
0.7527647,1,0.123522813,-0.343347752,-0.339900526,1,0.223750391,-0.350398261,-0.784884206,1
0.7527647,1,-0.386247921,-0.343347752,-0.81592058,0,-0.251443829,-0.19373408,-0.784884206,0
0.263667574,1,-0.386247921,0.321046239,0.811760895,0,-0.251443829,-0.177518149,1.274073287,1
-0.445523259,1,-0.980980445,-1.672135735,0.043986614,0,-0.805837085,-0.344981792,1.274073287,0
-0.83680096,0,-0.556171499,-0.343347752,-0.339900526,0,-0.964235158,-0.350398261,-0.784884206,0
-0.885705782,0,0.123522813,-0.011150756,-0.911892365,0,-0.964235158,-0.150056878,-0.784884206,0
-0.885705782,1,0.548331758,-0.675544748,-0.339900526,0,0.619745574,-0.335930147,-0.784884206,0
-0.152064983,0,-0.556171499,0.653243235,-0.911892365,0,-0.964235158,-0.15025182,-0.784884206,0
-0.445523259,0,-1.065942234,-1.339938739,0.427873755,0,-0.964235158,-0.400660404,-0.784884206,0
0.019119011,1,-0.811056866,0.985440231,1.195648036,1,-0.647439012,0.420584234,1.274073287,0
-0.347703834,1,-0.386247921,-1.339938739,-0.81592058,0,-0.251443829,-0.179933007,-0.784884206,1
1.119587545,1,0.803217125,-0.011150756,2.731196597,0,0.857342683,1.533317448,1.274073287,0
1.119587545,1,1.822758594,1.516955424,0.811760895,0,1.807731122,0.217547725,1.274073287,0
-0.64116211,1,0.293446391,1.516955424,0.427873755,1,0.382148464,-0.155226855,1.274073287,1
